2018-01-04 08:15:37,199 INFO  [main] com.sap.jpaas.infrastructure.console.ConsoleLogger: Arguments:   -a p1942289352trial -u p1942289352 -h hanatrial.ondemand.com --id demodb -p ********
2018-01-04 08:15:40,098 INFO  [main] com.sap.jpaas.infrastructure.console.ConsoleLogger: Starting execution of command [open-db-tunnel]
2018-01-04 08:15:40,221 INFO  [pool-2-thread-1] com.sap.jpaas.infrastructure.console.ConsoleLogger: No SDK status file for your configuration was found. Creating a new status file...
2018-01-04 08:15:42,121 INFO  [main] com.sap.jpaas.infrastructure.console.ConsoleLogger: There is no tools page available on host hanatrial.ondemand.com. The default tools page on host hana.ondemand.com will be used instead. This is expected behaviour as some hosts do not have corresponding tools pages
2018-01-04 08:15:42,125 INFO  [pool-3-thread-1] com.sap.jpaas.infrastructure.console.ConsoleLogger: No SDK status file for your configuration was found. Creating a new status file...
2018-01-04 08:15:43,127 INFO  [pool-3-thread-1] com.sap.jpaas.infrastructure.console.ConsoleLogger: Successfully performed version validity check. The returned status is UPDATE_AVAILABLE
2018-01-04 08:15:43,141 INFO  [main] com.sap.jpaas.infrastructure.console.ConsoleLogger: Version validity check is completed
2018-01-04 08:15:43,144 INFO  [main] com.sap.jpaas.infrastructure.console.ConsoleLogger: Command [open-db-tunnel] init() finished for [3045] ms
2018-01-04 08:15:43,168 INFO  [main] com.sap.core.tunnelcommands.framework.executor.CommandTunnelRequestExecutor: CommandTunnelRequestExecutor.executeRequest() called for command [open-db-tunnel] (version: 1.2.0)
2018-01-04 08:15:47,183 INFO  [tunnelclient-2-1] com.sap.core.connectivity.tunnel.client.handshake.ClientProtocolHandshaker: Sending handshake request for tunnel: jdbc:///demodb/tb99ce79c18a24085999a5393b658b6d5 and host connectivitytunnel.hanatrial.ondemand.com
2018-01-04 08:15:47,932 INFO  [tunnelclient-2-1] com.sap.core.connectivity.tunnel.core.impl.context.TunnelRegistryImpl: Registered tunnel channel [id: 0xace7394d, L:/192.168.100.3:64646 - R:connectivitytunnel.hanatrial.ondemand.com/155.56.219.27:443] for tunnel id "jdbc:///demodb/tb99ce79c18a24085999a5393b658b6d5" and client id "9eb9c3f2-f806-4209-b765-560772de9add"
2018-01-04 08:15:47,959 INFO  [main] com.sap.core.connectivity.tunnel.client.AbstractTunnelClient: Successfully established tunnel: [id: 0xace7394d, L:/192.168.100.3:64646 - R:connectivitytunnel.hanatrial.ondemand.com/155.56.219.27:443]
2018-01-04 08:15:50,075 INFO  [main] com.sap.core.connectivity.tunnel.core.impl.proxy.AbstractProxyServer: Started proxy server at port: 30015
2018-01-04 08:15:50,076 INFO  [main] com.sap.core.connectivity.tunnel.core.impl.proxy.AbstractProxyServer: Proxy server pool size: 20
2018-01-04 08:15:50,076 INFO  [main] com.sap.core.connectivity.tunnel.core.impl.proxy.AbstractProxyServer: Proxy server max heap per channel: 4194304
2018-01-04 08:15:50,076 INFO  [main] com.sap.core.connectivity.tunnel.core.impl.proxy.AbstractProxyServer: Proxy server max heap for all channels: 134217728
2018-01-04 08:26:10,527 WARN  [tunnelclient-2-1] com.sap.core.persistence.commands.tunnel.connection.DbTunnelManager$2: Tunnel reported an internal error, state of tunnel not clear
2018-01-04 08:27:31,000 WARN  [tunnelclient-2-1] com.sap.core.persistence.commands.tunnel.connection.DbTunnelManager$2: Tunnel reported an internal error, state of tunnel not clear
2018-01-04 08:27:31,205 WARN  [tunnelclient-2-1] com.sap.core.persistence.commands.tunnel.connection.DbTunnelManager$2: Tunnel reported an internal error, state of tunnel not clear
2018-01-04 10:12:10,974 ERROR [tunnelclient-2-1] com.sap.core.connectivity.tunnel.core.handlers.TunnelErrorHandler: Unexpected problem during tunnel processing in channel [id: 0xace7394d, L:/192.168.100.3:64646 - R:connectivitytunnel.hanatrial.ondemand.com/155.56.219.27:443]; Reason: An existing connection was forcibly closed by the remote host
2018-01-04 10:12:11,125 INFO  [tunnelclient-2-1] com.sap.core.connectivity.tunnel.core.impl.context.TunnelRegistryImpl: Unregistered tunnel channel [id: 0xace7394d, L:/192.168.100.3:64646 ! R:connectivitytunnel.hanatrial.ondemand.com/155.56.219.27:443] for tunnel id "jdbc:///demodb/tb99ce79c18a24085999a5393b658b6d5"
2018-01-04 10:12:11,128 INFO  [tunnelclient-2-1] com.sap.core.connectivity.tunnel.core.impl.context.TunnelRegistryImpl: Close tunnel with id "jdbc:///demodb/tb99ce79c18a24085999a5393b658b6d5" and client id "9eb9c3f2-f806-4209-b765-560772de9add"
